"","wk","wk_name","politician_id","profile_url","party_id","party","listenplatz","titel","vorname","nachname","geburtsname","geschlecht","geburtsjahr","ausbildung","wohnort","beruf","aw_fragen","aw_beantwortet"
"149",184,"Groß-Gerau",175986,"https://www.abgeordnetenwatch.de/profile/achim-weidner",7,"FREIE WÄHLER",NA,NA,"Achim","Weidner","Bender","m",1959,"Kaufmann für Internet und Datenschutzservice","Rüsselsheim am Main","Datenschutzbeauftragter, IT-Beratung",3,3
"150",184,"Groß-Gerau",145780,"https://www.abgeordnetenwatch.de/profile/thorsten-bluemlein",9,"AfD",NA,NA,"Thorsten","Blümlein",NA,"m",1971,"Industriemechaniker","Rüsselsheim","Luftsicherheitsassistent",NA,NA
"151",184,"Groß-Gerau",145887,"https://www.abgeordnetenwatch.de/profile/stefan-sauer",2,"CDU",NA,NA,"Stefan","Sauer",NA,"m",1966,"Diplom Betriebswirt","Groß-Gerau","MdB",15,14
"152",184,"Groß-Gerau",146368,"https://www.abgeordnetenwatch.de/profile/stephan-dehler",4,"FDP",NA,NA,"Stephan","Dehler",NA,"m",1984,NA,NA,"Geschäftsführer",NA,NA
"153",184,"Groß-Gerau",175604,"https://www.abgeordnetenwatch.de/profile/lars-nitschke",5,"Bündnis 90/Die Grünen",NA,NA,"Lars","Nitschke",NA,"m",1997,"Studium der Politikwissenschaft","Nauheim","Werksstudent",NA,NA
"154",184,"Groß-Gerau",175472,"https://www.abgeordnetenwatch.de/profile/melanie-wegling",1,"SPD",NA,NA,"Melanie","Wegling",NA,"f",NA,NA,NA,"Marketing Managerin",NA,NA
"155",184,"Groß-Gerau",146135,"https://www.abgeordnetenwatch.de/profile/joerg-cezanne",8,"DIE LINKE",4,NA,"Jörg","Cezanne",NA,"m",1958,"Groß- und Außenhandelskaufmann, Betriebswirt (VWA), Soziologe",NA,"MdB",15,10
"156",185,"Offenbach",176750,"https://www.abgeordnetenwatch.de/profile/felix-kautz",193,"Volt",NA,NA,"Felix","Kautz","Müller","m",1996,"Master of Business Management","Offenbach","Unternehmer",NA,NA
"157",185,"Offenbach",176334,"https://www.abgeordnetenwatch.de/profile/stephanie-birkle",16,"Die PARTEI",NA,NA,"Stephanie","Birkle",NA,"f",1980,"Anglistin, M.A.","Langen","Online Marketing Specialist",NA,NA
"158",185,"Offenbach",176330,"https://www.abgeordnetenwatch.de/profile/stephan-billing",201,"dieBasis",NA,NA,"Stephan","Billing",NA,NA,NA,NA,NA,NA,NA,NA
"159",185,"Offenbach",159610,"https://www.abgeordnetenwatch.de/profile/dennis-lehmann",7,"FREIE WÄHLER",NA,NA,"Dennis","Lehmann",NA,"m",1988,"Schreiner","Offenbach a.M.","Schreiner",NA,NA
"160",185,"Offenbach",29174,"https://www.abgeordnetenwatch.de/profile/gregory-engels",6,"PIRATEN",2,NA,"Gregory","Engels",NA,"m",1976,"Physiker",NA,"Unternehmer",NA,NA
